feature,metadata,value,coef,stderr,N,N.not.0,pval,qval,Taxa,Log2FC,Mean_rel_abt_on_kiosk
Acinetobacter.schindleri,is_kiosk,Kiosk,-0.0008649602870274,0.0007688270052354,41,41,0.267830116636214,0.512055238567207,Acinetobacter.schindleri,-0.7781708474797808,0.0031704104615384
Aeromonas.caviae,is_kiosk,Kiosk,0.0002670844313987,0.0002398511254604,41,41,0.272469759971542,0.512055238567207,Aeromonas.caviae,-1.249836630628785,0.000751018076923
Acinetobacter.johnsonii,is_kiosk,Kiosk,-0.0028703565301278,0.0025984131791203,41,41,0.276253709486758,0.514729133915498,Acinetobacter.johnsonii,-1.5930492623872583,0.0021164074615384
Staphylococcus.capitis,is_kiosk,Kiosk,-0.0003869490644163,0.0003723284940458,41,41,0.30524794263151,0.55113265340809,Staphylococcus.capitis,-3.3494681536593944,0.0001860599230769
Acinetobacter.towneri,is_kiosk,Kiosk,-0.0005372639096399,0.0005152488398311,41,41,0.303663341597679,0.55113265340809,Acinetobacter.towneri,-1.6554017501352192,0.000856614076923
Dietzia.timorensis,is_kiosk,Kiosk,-0.0009836858571919,0.0010146235203477,41,41,0.33941771337231,0.587246519961616,Dietzia.timorensis,-1.7005127610533073,0.0008453791538461
Paracoccus.sp..Arc7.R13,is_kiosk,Kiosk,0.0013596987550333,0.0014635138875267,41,41,0.358742356134545,0.60624677238241,Paracoccus.sp..Arc7.R13,0.0320866679146174,0.009015780076923
Pseudomonas.mendocina,is_kiosk,Kiosk,-0.0028712026183569,0.0032684675403007,41,41,0.3852176276909,0.622296743488316,Pseudomonas.mendocina,-1.3025925589532443,0.0028740413846153
Rheinheimera.sp..LHK132,is_kiosk,Kiosk,-0.0048127659118205,0.0057323433176495,41,41,0.406522561941753,0.639987501430968,Rheinheimera.sp..LHK132,-2.396524052088819,0.0013918498461538
Kytococcus.sedentarius,is_kiosk,Kiosk,0.0009232662021955,0.0011487890083688,41,41,0.426851559944779,0.649478413793207,Kytococcus.sedentarius,-0.0375338756750727,0.0084731414615384
Corynebacterium.xerosis,is_kiosk,Kiosk,0.0006611498945646,0.0008217275823232,41,41,0.426064453024818,0.649478413793207,Corynebacterium.xerosis,-0.5738758368348016,0.001387031076923
Microbacterium.aurum,is_kiosk,Kiosk,0.0009684479592126,0.0012592953633205,41,41,0.446623651576641,0.662339837032025,Microbacterium.aurum,-0.1221257018934487,0.0031229162307692
Micrococcus.sp..KBS0714,is_kiosk,Kiosk,-0.0002177933807552,0.0002875964034212,41,41,0.453547602913393,0.668063361048107,Micrococcus.sp..KBS0714,-1.6351712503154603,0.000726623076923
Kocuria.palustris,is_kiosk,Kiosk,-0.0014574577008362,0.0019882697126317,41,41,0.468115806659993,0.676559897545163,Kocuria.palustris,-0.2805786645583019,0.0153846526153846
Aspergillus.fumigatus,is_kiosk,Kiosk,0.0003508416972608,0.0004886483111882,41,41,0.477158344796356,0.684345520826353,Aspergillus.fumigatus,-0.8810417038330289,0.0012400226923076
Brachybacterium.saurashtrense,is_kiosk,Kiosk,0.0003241157080706,0.0005274390620412,41,41,0.542541621380172,0.730607629334723,Brachybacterium.saurashtrense,-0.3721427277087139,0.0033077784615384
Sphingobium.yanoikuyae,is_kiosk,Kiosk,0.0004429297430482,0.0007649360635896,41,41,0.566112937475212,0.757132640304271,Sphingobium.yanoikuyae,-0.4574174941330717,0.0017465133846153
Pseudomonas.aeruginosa,is_kiosk,Kiosk,0.0003595304603091,0.0006577113124139,41,41,0.587852135801264,0.774434158175491,Pseudomonas.aeruginosa,-0.518735498006226,0.002173871
Aspergillus.oryzae,is_kiosk,Kiosk,0.0003678243755222,0.0006856425098034,41,41,0.594763004299783,0.774434158175491,Aspergillus.oryzae,-0.6428740476286379,0.0019248053076923
Corynebacterium.jeikeium,is_kiosk,Kiosk,-0.0003151636023637,0.0007149425726099,41,41,0.661848219358086,0.843759718245981,Corynebacterium.jeikeium,-0.7922177239030521,0.002291838076923
Rothia.mucilaginosa,is_kiosk,Kiosk,0.0001108292847502,0.0003187998411832,41,41,0.73002486070509,0.880086616469437,Rothia.mucilaginosa,-1.817412211255176,0.0004649931538461
Comamonas.aquatica,is_kiosk,Kiosk,-0.0005280712693205,0.0015074521145155,41,41,0.728079255039937,0.880086616469437,Comamonas.aquatica,-0.8944786451287623,0.0020932009230769
Massilia.oculi,is_kiosk,Kiosk,-0.0017503236953326,0.0052029909123593,41,41,0.738447895345341,0.88447392732845,Massilia.oculi,-1.3514531044030749,0.001896038
Pseudomonas.alcaligenes,is_kiosk,Kiosk,-0.0003853790355767,0.0023601453471497,41,41,0.87115846848602,0.930943853578198,Pseudomonas.alcaligenes,-0.4629334852737541,0.00442713
Acinetobacter.sp..ACNIH1,is_kiosk,Kiosk,-5.01044677978914e-05,0.0003582827788318,41,41,0.889570739131336,0.94598254210064,Acinetobacter.sp..ACNIH1,-0.9538745724177904,0.0014620964615384
Corynebacterium.minutissimum,is_kiosk,Kiosk,-4.94152607745252e-05,0.0004659694615093,41,41,0.916107581934329,0.964789627351129,Corynebacterium.minutissimum,-1.1198402212245142,0.0012029772307692
