feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Sphingobium.yanoikuyae	Year_categorical	Batch_2	0.000393756153917387	0.000737176955140858	41	41	0.596811644832489	0.774434158175491
Aspergillus.oryzae	is_kiosk	Kiosk	0.000367824375522213	0.000685642509803455	41	41	0.594763004299783	0.774434158175491
Paracoccus.jeotgali	Year_categorical	Batch_2	0.000113868566044407	0.000223580764738718	41	41	0.613490390335988	0.791366302326896
Aeromonas.caviae	Year_categorical	Batch_2	-0.000106988727679283	0.000235367531509603	41	41	0.652011755504896	0.836109192353337
Corynebacterium.jeikeium	is_kiosk	Kiosk	-0.000315163602363785	0.000714942572609999	41	41	0.661848219358086	0.843759718245981
Brachybacterium.ginsengisoli	Year_categorical	Batch_2	0.000144646965108242	0.000336212077968124	41	41	0.669461916436239	0.848504056878488
Paracoccus.zhejiangensis	Year_categorical	Batch_2	0.000115027848777223	0.000271807514658515	41	41	0.674537868729776	0.849995695856018
Kocuria.turfanensis	Year_categorical	Batch_2	9.92738604878798e-05	0.000256137614941879	41	41	0.700980912283314	0.868148607694459
Dietzia.lutea	Year_categorical	Batch_2	9.47198089401937e-05	0.000244543463150943	41	41	0.700860233391232	0.868148607694459
Pseudomonas.alcaligenes	Year_categorical	Batch_2	0.000909107149172149	0.00231602659064474	41	41	0.696860749539722	0.868148607694459
Brevundimonas.naejangsanensis	Year_categorical	Batch_2	9.37351916872372e-05	0.000245627944993628	41	41	0.704872952118896	0.868148607694459
Brevibacterium.linens	Year_categorical	Batch_2	-0.000102456186297395	0.000281188046937967	41	41	0.71837792663016	0.879811168569521
Rothia.mucilaginosa	is_kiosk	Kiosk	0.000110829284750291	0.000318799841183203	41	41	0.73002486070509	0.880086616469437
Acinetobacter.johnsonii	Year_categorical	Batch_2	-0.000884081712146394	0.00254984042554504	41	41	0.73071411734389	0.880086616469437
Comamonas.aquatica	is_kiosk	Kiosk	-0.000528071269320592	0.00150745211451559	41	41	0.728079255039937	0.880086616469437
Cutibacterium.granulosum	Year_categorical	Batch_2	0.00013420607164646	0.000408890133183915	41	41	0.744546827417645	0.88447392732845
Paracoccus.contaminans	Year_categorical	Batch_2	0.000129971311420854	0.000399025476073608	41	41	0.746528452424013	0.88447392732845
Massilia.oculi	is_kiosk	Kiosk	-0.00175032369533266	0.00520299091235938	41	41	0.738447895345341	0.88447392732845
Comamonas.aquatica	Year_categorical	Batch_2	0.000462365487681754	0.00146976322503003	41	41	0.755053688442497	0.889738940975483
Paracoccus.aminovorans	Year_categorical	Batch_2	7.61558426295025e-05	0.000251390163779706	41	41	0.763588727330121	0.894958830956809
Nocardioides.sp..JS614	Year_categorical	Batch_2	8.05212012165456e-05	0.00027087287751166	41	41	0.767994742867196	0.895309379385287
