Species,hong_kong,london,ilorin,singapore,new_york_city,porto,barcelona,kyiv,doha,seoul,zurich,lisbon,stockholm,denver,berlin,offa,santiago,naples,paris,sacramento,hamilton,marseille,sofia,vienna,sendai,brisbane,kuala_lumpur,hanoi,auckland,minneapolis,baltimore,prevalence
Streptococcus sp. 116-D4,0.004601226993865031,0.035629453681710214,0.005128205128205128,0.027777777777777776,0.006756756756756757,0.40540540540540543,0.09375,0.02702702702702703,0.045454545454545456,0.016666666666666666,0.019230769230769232,,0.11627906976744186,0.02702702702702703,0.16666666666666666,,0.058823529411764705,,0.125,,,0.125,,,,,,,,,0.08333333333333333,0.04054199956812783
Mixta theicola,,,0.010256410256410256,,0.04054054054054054,0.009009009009009009,,,0.015151515151515152,,,0.0784313725490196,,,,0.058823529411764705,,,,,,,,,,,,,0.07692307692307693,,,0.04054054054054054
Curtobacterium pusillum,0.012269938650306749,0.019002375296912115,0.05641025641025641,0.011111111111111112,0.006756756756756757,0.02702702702702703,,0.05405405405405406,,,0.019230769230769232,,,,,,,0.0625,,0.0625,,,,,,0.21428571428571427,,0.14285714285714285,,,,0.04054054054054054
Deinococcus irradiatisoli,0.05214723926380368,0.0023752969121140144,,0.03333333333333333,0.006756756756756757,,,0.04054054054054054,,,0.057692307692307696,,,,,,,0.0625,,,,,,,,,,,,,,0.04054054054054054
Curtobacterium sp. MR_MD2014,0.024539877300613498,0.009501187648456057,0.11282051282051282,0.03333333333333333,,0.009009009009009009,,0.04054054054054054,,,0.038461538461538464,,,,,,,,,0.0625,,,,,,0.21428571428571427,,0.14285714285714285,0.07692307692307693,,,0.04054054054054054
Cryptococcus neoformans,0.009202453987730062,0.09263657957244656,0.015384615384615385,0.027777777777777776,,0.11711711711711711,0.041666666666666664,0.04054054054054054,0.015151515151515152,,0.019230769230769232,0.0196078431372549,,0.08108108108108109,,,,,,,,,,,,0.07142857142857142,,,0.07692307692307693,,,0.04054054054054054
Klebsiella sp. PO552,,,,0.022222222222222223,,,,,,,,,,,,0.058823529411764705,,,,,,,,,,,,,,,,0.040522875816993466
Rhodococcus opacus,0.04294478527607362,0.03800475059382423,0.005128205128205128,,,0.009009009009009009,,,,,,,,,,,,,,0.125,,,,,,,,0.14285714285714285,,,,0.040474767934948926
Corynebacterium testudinoris,0.018404907975460124,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,0.040452453987730064
Acinetobacter guillouiae,0.0352760736196319,0.030878859857482184,0.03076923076923077,0.011111111111111112,0.033783783783783786,0.11711711711711711,0.041666666666666664,,,0.03333333333333333,,0.0392156862745098,,0.02702702702702703,0.05555555555555555,0.058823529411764705,,,,0.0625,0.125,,0.0625,,0.07142857142857142,,,,,,,0.04044117647058823
Staphylococcus sp. M0911,0.0015337423312883436,0.040380047505938245,,,,0.018018018018018018,0.020833333333333332,,0.030303030303030304,,,,,0.05405405405405406,0.05555555555555555,,,,,,,0.0625,,,,,,0.07142857142857142,,,,0.040380047505938245
Cellulosimicrobium sp. 72-3,,0.040380047505938245,,0.005555555555555556,,,,,,,,,,,,0.058823529411764705,,,,,,,,,,,,,,,,0.040380047505938245
Brucella sp. 2280,,0.040380047505938245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040380047505938245
Nocardia asteroides,0.009202453987730062,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07142857142857142,,,,0.040315512708150744
Enterococcus faecalis,0.003067484662576687,0.503562945368171,0.035897435897435895,0.03888888888888889,0.06756756756756757,,0.041666666666666664,,0.015151515151515152,0.016666666666666666,,0.11764705882352941,,,0.027777777777777776,,,,,0.0625,0.0625,,,,,,,,,,,0.04027777777777777
Candidatus Hamiltonella defensa,0.0015337423312883436,,,,,0.009009009009009009,,0.013513513513513514,,,,,,,,,,,0.25,,,,,0.06666666666666667,0.07142857142857142,,,,,,,0.04009009009009009
Pedobacter sp. HDW13,0.003067484662576687,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,,0.039995280792826805
Sphingobacteriaceae bacterium GW460-11-11-14-LB5,0.003067484662576687,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,,0.039995280792826805
Acidovorax sp. RAC01,0.03987730061349693,0.0023752969121140144,0.020512820512820513,0.011111111111111112,0.02702702702702703,,,,0.06060606060606061,0.03333333333333333,,,0.023255813953488372,0.02702702702702703,,,0.058823529411764705,0.0625,,,,,0.125,0.06666666666666667,,0.07142857142857142,,,,0.07692307692307693,,0.03987730061349693
Microcoleus sp. PCC 7113,0.03987730061349693,,,0.022222222222222223,,0.10810810810810811,0.020833333333333332,,0.015151515151515152,,,,,,,,,,,0.0625,,,,,0.07142857142857142,,,,,,,0.03987730061349693
Klebsiella variicola,0.004601226993865031,0.004750593824228029,0.02564102564102564,0.022222222222222223,0.013513513513513514,,0.5104166666666666,0.05405405405405406,,,0.07692307692307693,,,,,0.17647058823529413,,,,,,,,,0.07142857142857142,,,,,,,0.039847539847539845
Actinoplanes missouriensis,0.019938650306748466,0.019002375296912115,0.046153846153846156,0.011111111111111112,0.006756756756756757,0.018018018018018018,,,0.030303030303030304,0.03333333333333333,0.07692307692307693,,,0.02702702702702703,0.08333333333333333,,,,,0.6875,,0.125,,,,0.14285714285714285,,0.07142857142857142,,0.15384615384615385,,0.03974358974358974
Mycolicibacterium rutilum,0.01687116564417178,,,0.011111111111111112,,,,,,0.016666666666666666,,,,,,,,,0.0625,,,,,,0.07142857142857142,,0.14285714285714285,,,,,0.03968558282208589
Mycolicibacterium moriokaense,0.01687116564417178,,,0.005555555555555556,,,,,,,,,,,,,,,,,,0.0625,,,,,0.07142857142857142,,,,,0.03968558282208589
Desulfitobacterium hafniense,,,0.020512820512820513,,,,,,,,,,,,,0.058823529411764705,,,,,,,,,,,,,,,,0.03966817496229261
Pseudomonas sp. SGAir0191,,,0.020512820512820513,,,,,,,,,,,,,0.058823529411764705,,,,,,,,,,,,,,,,0.03966817496229261
Bordetella sp. N,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,,0.03964918691759547
Pseudomonas sp. SK,0.0015337423312883436,,0.005128205128205128,,0.02027027027027027,0.018018018018018018,,,,,,0.0784313725490196,,,,,0.058823529411764705,,,,0.1875,,,,,,,,0.07692307692307693,,,0.03954689984101749
