Species,hong_kong,london,ilorin,singapore,new_york_city,porto,barcelona,kyiv,doha,seoul,zurich,lisbon,stockholm,denver,berlin,santiago,offa,hamilton,marseille,paris,naples,sacramento,sofia,vienna,sendai,brisbane,kuala_lumpur,hanoi,minneapolis,auckland,baltimore
Acinetobacter lwoffii,0.018404907975460124,0.4513064133016627,0.13333333333333333,0.3277777777777778,0.581081081081081,0.8108108108108109,0.9166666666666666,0.1891891891891892,0.7424242424242424,0.03333333333333333,0.15384615384615385,0.6274509803921569,0.16279069767441862,0.5675675675675675,0.8611111111111112,1.0,0.47058823529411764,0.3125,0.875,0.3125,1.0,0.4375,0.5,0.26666666666666666,0.07142857142857142,,,0.14285714285714285,,0.07692307692307693,0.08333333333333333
Acinetobacter nosocomialis,,0.004750593824228029,0.03076923076923077,0.022222222222222223,0.1554054054054054,0.02702702702702703,0.25,,0.030303030303030304,0.016666666666666666,0.038461538461538464,0.13725490196078433,,0.10810810810810811,0.027777777777777776,0.35294117647058826,,0.0625,,,,,,,,,,0.07142857142857142,,,
Acinetobacter oleivorans,0.003067484662576687,,,,0.013513513513513514,,,,,0.016666666666666666,,0.0196078431372549,,,0.027777777777777776,,,,,,,,,,,,,,,,
Acinetobacter phage Acj61,,,,,,0.009009009009009009,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter pittii,0.006134969325153374,0.0166270783847981,0.035897435897435895,0.022222222222222223,0.20945945945945946,0.09009009009009009,0.59375,,0.7575757575757576,0.016666666666666666,0.038461538461538464,0.3137254901960784,,0.1891891891891892,0.1111111111111111,,,0.0625,0.0625,,,0.0625,,,,,,,,,0.25
Acinetobacter radioresistens,0.0015337423312883436,0.023752969121140142,0.14358974358974358,0.011111111111111112,0.28378378378378377,0.24324324324324326,0.6770833333333334,0.013513513513513514,0.42424242424242425,0.016666666666666666,,0.4117647058823529,,0.43243243243243246,0.05555555555555555,0.47058823529411764,0.35294117647058826,0.3125,,,,0.0625,,,,,,,,0.07692307692307693,0.08333333333333333
Acinetobacter schindleri,0.06288343558282208,0.07363420427553444,0.8256410256410256,0.36666666666666664,0.5067567567567568,0.36036036036036034,0.8333333333333334,0.2702702702702703,0.803030303030303,0.05,0.17307692307692307,0.6274509803921569,0.023255813953488372,0.6216216216216216,0.3333333333333333,0.6470588235294118,0.7647058823529411,0.3125,0.1875,,0.125,0.4375,0.25,0.2,,,,0.5,,0.15384615384615385,0.16666666666666666
Acinetobacter soli,0.007668711656441718,,0.07179487179487179,0.027777777777777776,0.033783783783783786,,0.052083333333333336,,,,0.057692307692307696,0.0784313725490196,,,,,,0.0625,,,,,,,,,,,,,
Acinetobacter sp. 185,,0.0023752969121140144,0.010256410256410256,0.005555555555555556,0.07432432432432433,,0.010416666666666666,,,,,0.0392156862745098,,,,0.058823529411764705,0.058823529411764705,0.125,,,,,,,,,,,,0.07692307692307693,
Acinetobacter sp. 323-1,,,0.010256410256410256,0.005555555555555556,0.05405405405405406,,0.010416666666666666,,,,,0.0392156862745098,,,,0.058823529411764705,0.058823529411764705,0.0625,,,,,,,,,,,,0.07692307692307693,
Acinetobacter sp. ACNIH1,0.004601226993865031,0.014251781472684086,0.6051282051282051,0.05555555555555555,0.27702702702702703,0.10810810810810811,0.5833333333333334,0.05405405405405406,0.696969696969697,,0.038461538461538464,0.5882352941176471,,0.5405405405405406,0.1388888888888889,0.29411764705882354,0.6470588235294118,0.125,0.0625,,,0.3125,,,,,,0.14285714285714285,,0.07692307692307693,
Acinetobacter sp. ACNIH2,0.0015337423312883436,0.0023752969121140144,0.03076923076923077,0.005555555555555556,0.10135135135135136,0.036036036036036036,0.3333333333333333,,,,,0.0392156862745098,,0.02702702702702703,,0.058823529411764705,0.058823529411764705,0.125,,,,,,,,,,,,0.07692307692307693,
Acinetobacter sp. C16S1,0.0015337423312883436,,,,0.013513513513513514,,0.052083333333333336,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter sp. DUT-2,,,,,0.013513513513513514,,,,0.030303030303030304,,,0.058823529411764705,,,0.027777777777777776,,,,,,,,,,,,,,,,
Acinetobacter sp. LoGeW2-3,,,0.07692307692307693,0.005555555555555556,0.17567567567567569,0.009009009009009009,0.041666666666666664,,,,,0.2549019607843137,,0.08108108108108109,0.027777777777777776,0.058823529411764705,0.29411764705882354,0.0625,,,,0.0625,,,,,,,,0.07692307692307693,
