Species,hong_kong,london,ilorin,singapore,new_york_city,porto,barcelona,kyiv,doha,seoul,zurich,lisbon,stockholm,denver,berlin,offa,santiago,naples,paris,sacramento,hamilton,marseille,sofia,vienna,sendai,brisbane,kuala_lumpur,hanoi,auckland,minneapolis,baltimore
Pseudomonas protegens,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,
Pseudomonas azotoformans,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomonas rhodesiae,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudomonas lundensis,,0.0023752969121140144,,,,,,,,,,,,0.08108108108108109,,,,,,,0.0625,,,,,,,,,,
Stenotrophomonas sp. 364,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,
Brevundimonas vancanneytii,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhizobium sp. S41,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrobacterium tumefaciens,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ochrobactrum quorumnocens,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,
Achromobacter sp. B7,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbacterium sp. Y-01,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delftia tsuruhatensis,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysinibacillus sphaericus,,0.0023752969121140144,0.005128205128205128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus aureus,,0.0023752969121140144,,,,,0.5416666666666666,,,,,,0.023255813953488372,,,,,,,,,,,,,,,,,,
Staphylococcus hominis,,0.0023752969121140144,,,,,,,,,,0.0196078431372549,,,,,,,,,,,,,,,,,,,
Staphylococcus capitis,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus simulans,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macrococcus caseolyticus,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterococcus hirae,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnobacterium maltaromaticum,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter johnsonii,,0.0023752969121140144,,,0.006756756756756757,0.009009009009009009,0.03125,,,,,,,,,,,,,,,,,,,,,,,,
